"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.45657095544779e-202,1.78588974564762,0.529,0.146,4.49643453946732e-198,"0","SLC31A2"
6.5374049611911e-202,1.59736189809218,0.571,0.168,2.01809691151969e-197,"0","RASSF4"
9.55241144961256e-201,1.44444895683955,0.7,0.257,2.9488294144954e-196,"0","MIR181A1HG"
2.75368449455277e-200,2.08302111030664,0.516,0.148,8.50062403468441e-196,"0","HK2"
4.44174549351356e-200,1.83080858790531,0.679,0.246,1.37116683384764e-195,"0","WARS"
1.11249058723408e-199,2.55101065861428,0.359,0.072,3.4342584427916e-195,"0","ASGR1"
4.12017045805007e-198,1.50982469495952,0.704,0.266,1.27189662040006e-193,"0","ADAM9"
1.14942562042355e-197,2.51042106904977,0.339,0.063,3.54827689024751e-193,"0","GPR84"
1.41054561199864e-197,1.54701602918474,0.62,0.203,4.3543543042398e-193,"0","THEMIS2"
1.54323144939696e-197,1.63416924609784,0.545,0.156,4.76395548428841e-193,"0","SLC7A7"
1.91362556534044e-197,1.46996373430108,0.67,0.235,5.90736212020595e-193,"0","LACTB"
2.32628253463301e-197,1.20618243238905,0.924,0.509,7.1812341844121e-193,"0","CTSD"
2.62472132797621e-197,1.55570745998816,0.712,0.274,8.10251473946257e-193,"0","IFITM3"
9.60647352157484e-197,1.18440420371556,0.817,0.339,2.96551837611015e-192,"0","PHACTR1"
1.09108323063816e-196,1.74425091195162,0.555,0.169,3.36817393298001e-192,"0","RNASE6"
1.61816144926075e-196,1.13740959209573,0.876,0.415,4.99526439386794e-192,"0","METRNL"
1.70771804019389e-196,1.69912878627672,0.765,0.314,5.27172559007852e-192,"0","DENND5A"
2.02910648976756e-196,1.58320425283804,0.558,0.166,6.26385173391247e-192,"0","IL18"
3.56573952275284e-196,1.01778993974284,0.966,0.78,1.1007437906738e-191,"0","CYBA"
7.2525720970112e-196,2.1277271506392,0.425,0.102,2.23886900634736e-191,"0","LILRB3"
9.85487295763999e-196,1.3565442908938,0.97,0.601,3.04219928202347e-191,"0","ZEB2"
1.52348860768977e-195,1.48341443291731,0.641,0.221,4.70300933193831e-191,"0","DAPK1"
